status,city,state,country,classification,openfda,product_type,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,recall_initiation_date,center_classification_date,report_date,code_info,termination_date,more_code_info
Terminated,Dawsonville,GA,United States,Class II,{},Drugs,89749,Direct Rx,94 Worldwide Dr,N/A,30534-6828,Voluntary: Firm initiated,Letter,"FL, GA, LA",D-0650-2022,"Alprazolam C-IV 1 mg 60-count bottles, Rx Only, Dist. By: Par Pharmaceutical Chestnut Ridge, NY 10977 Packaged and Distributed By: Direct Rx Dawsonville, GA 30534, NDC 61919-836-60",16 bottles,CGMP Deviations: The Recall is due to the potential cross-contamination at the contract manufacturer (Ultra Tab Laboratories Inc.),20220304,20220310,20220316,Lot #: 19AU1910 Exp. 5/31/22,20221202,
Terminated,Longview,TX,United States,Class I,{},Drugs,88291,Med Shop Total Care Inc.,470 E Loop 281,N/A,75605-7939,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Texas and Puerto Rico,D-0704-2021,"BUPIVACAINE HCL-BACLOFEN PF INJECTABLE 40MG-4000MCG/ML, 21 mL syringe, Rx only, Med Shop Total Care 470 East Loop 281 Longview, TX 75605",21 mL,Non-Sterility,20201005,20210809,20210818,Lot #: 09282020@94 BUD: 10/27/2020,20230817,
Ongoing,Indianapolis,IN,United States,Class II,{},Drugs,86799,"Advanced Nutriceuticals, LLC",836 E 86th St,N/A,46240-1806,Voluntary: Firm initiated,Letter,"CA, CO, FL, IN, KY, OH, TX",D-0132-2021,"BPC-157, 2000 MCG/ML, 5 ML vial, The Guyer Institute of Molecular Medicine, Indianapolis, IN",4 vials,Lack of Assurance of Sterility: due to concerns with production processes which cannot assure sterility of products intended to be sterile.,20201130,20201211,20201223,"Lot #1102202009, Exp 12/08/2020;  Lot #1105202009, Exp 12/20/2020;  Lot #1110202001, Exp 12/15/2020;  Lot #1112202004, Exp 12/12/2020",,
Completed,Chesapeake,VA,United States,Class II,{},Drugs,91466,Sentara Infusion Services,535 Independence Pkwy Ste 300,N/A,23320-5176,Voluntary: Firm initiated,Telephone,Dispensed to Patients Nationwide.,D-0297-2023,"IMIPENEM/CILASTATIN 2000MG IN NS 400ML, antibiotic, Rx Only, use with a Curlin Pump,  Sentara Home Infusion Pharmacy Services, 535 Independence Pkwy, Ste 300, Chesapeake, VA 23320, NDC#  63323-0322-25",7 bags,Lack of sterility assurance,20221227,20230215,20230222,"Beyond Use Date: December 25-30, 2022",,
Terminated,Albany,OR,United States,Class III,{},Drugs,89152,Dental Alliance Holdings LLC,812 Water Ave Ne,,97321-3074,Voluntary: Firm initiated,Letter,Distributed nationwide with the United States,D-0458-2022,"CariFree sample boxes, contains one tube of CariFree CTx4 Gel 5000, 1.1% Neutral Sodium Fluoride Mint, 2 oz (57 g) Rx only NDC: 61578-205-01 Manufactured by Oral BioTech Albany, Oregon 97321.",8 single tubes of lot 492106 and 50 single tubes of lot 492107,Subpotent Drug: Product contains less Sodium Fluoride than listed on product label.,20211203,20220126,20220202,"Lot #: 492106, 492107 Exp. Date 06/22 (contains recalled CariFree CTx4 5000 gel tube lot 142017).",20220811,
Terminated,Los Angeles,CA,United States,Class II,{},Drugs,84978,"Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceutical",1990 Westwood Blvd Ste 135,N/A,90025-4650,Voluntary: Firm initiated,Press Release,"U.S.A. Nationwide and Puerto Rico, Barbados and Dominican Republic",D-0943-2020,"BETAMETHASONE ACETATE/BETAMETHASONE (PF) Injectable Suspension, Betamethasone Acetate/Betamethasone (PF) CMC [10ML] 7MG/ML INJ SUSP, For IM, IA Use, Shake Well, 10 mL Multi-dose Vial, Rx only, Axia Pharmaceutical 1990 Westwood Blvd. Ste 135, Los Angeles, CA 90025; NDC 71283-0621-1",N/A,Lack of Assurance of Sterility,20200115,20200305,20200311,"Lot #: 07092019+52610, Exp 2/6/2020; 07232019+52734, Exp 2/19/2020; 08282019+52853, 09042019+52878, 09102019+52903, Exp 3/2/2020; 09182019+52929, Exp 4/17/2020; 10092019+53082, Exp 2/28/2020, 10152019+53124; Exp 5/4/2020; 10222019+53142, Exp 2/28/2020; 10292019+53160, 11052019+53186, Exp 5/4/2020; 11202019+53257, Exp 6/19/2020; 11212019+53270, Exp 6/20/2020; 12042019+53317, Exp 7/3/2020; 12102019+53363, Exp 7/9/2020",20231207,
Completed,Bentonville,AR,United States,Class II,{},Drugs,90359,Walmart Inc,702 Sw 8th St Ms 275,,72716-6299,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Nationwide in the USA.,D-1158-2022,"Artri Ajo King Reforzado con Ortiga y Omega 3 Tablets, ORIGINAL, 100-count bottles, UPC 7 501031 12705.",1308 bottles total,Marketed Without An Unapproved NDA/ANDA: All lots were found to be unapproved drugs based on labeling claims.,20220524,20220624,20220622,All product lots.,,
Terminated,Pulaski,TN,United States,Class I,{},Drugs,86940,AVKARE Inc.,615 N 1st St,N/A,38478-2403,Voluntary: Firm initiated,Letter,Nationwide within the U.S.,D-0168-2021,"TraZODONE Hydrochloride Tablets USP 100 mg, Rx Only, 1000-count Bottle, Manufactured for: AvKARE Pulaski, TN 38478, NDC 42291-834-10",14368 bottles,Product mix-up: Bottles of sildenafil and trazodone were inadvertently packaged together during bottling at a 3rd party facility.,20201207,20201216,20201223,Lot: 36783 Exp. 06/2022,20231016,
Terminated,Los Angeles,CA,United States,Class II,{},Drugs,84978,"Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceutical",1990 Westwood Blvd Ste 135,N/A,90025-4650,Voluntary: Firm initiated,Press Release,"U.S.A. Nationwide and Puerto Rico, Barbados and Dominican Republic",D-0971-2020,"Methylprednisolone Acetate Injectable Suspension, METHYLPREDNISOLONE ACETATE [10ML] CMC 100 MG/ML INJ SUSP, For IM, IA Use, Shake Well, 10 mL Multi-dose Vial, Rx only, Axia Pharmaceutical 1990 Westwood Blvd. Ste 135, Los Angeles, CA 90025; NDC 71283-0619-1",N/A,Lack of Assurance of Sterility,20200115,20200305,20200311,"Lot #: 06122019+52423, Exp 7/9/2020; 06122019+52420, Exp 7/9/2020; 07182019+52703, Exp 8/14/2020",20231207,
Ongoing,Phoenix,AZ,United States,Class II,{},Drugs,92707,"Central Admixture Pharmacy Services, Inc.",2200 S 43rd Ave,N/A,85043-3909,Voluntary: Firm initiated,Letter,Nationwide in the USA,D-0968-2023,"vancomycin 1.5 g/250mL added to 5% dextrose, 6 mg/mL, IV Bag, Rx only, Cental Admixture Pharmacy Services, Inc., 2200 South 43rd Avenue, Pheonix, AZ 85043, NDC: 72196-6075-1","2,914 bags",Lack of assurance of sterility. Validation data for decontamination cycles is lacking.,20230714,20230801,20230809,"Lot: 36-239516, 36-239517, Exp. 7/12/2023; 36-239989, Exp. 7/13/2023; 36-240798, Exp. 7/17/2023; 36-241133, Exp. 7/19/2023; 36-241981, Exp. 7/24/2023; 36-242717, Exp. 7/26/2023; 36-245577, Exp. 8/2/2023.",,
Terminated,Monterey Park,CA,United States,Class II,{},Drugs,85341,Herbal Doctor Remedies,497 Cumbre St,N/A,91754-2114,Voluntary: Firm initiated,Other,"Products are sold online within the United States and  internationally to the following countries: Australia, Canada, Israel, Italy, Japan, Norway, and United Kingdom",D-1106-2020,"Acne Cystic, 500 mg Capsules, 90-count bottles, Distributed by Herbal Doctor Remedies Alhambra, CA 91801-7081 USA, 1(800) 600-0808",N/A,CGMP Deviations: These products have been found to be misbranded as  unapproved new drugs,20200324,20200407,20200415,All lots within expiry,20240125,
Terminated,Saint Louis,MO,United States,Class III,"{'brand_name': ['DRY EYE TEST'], 'generic_name': ['FLUORESCEIN SODIUM'], 'manufacturer_name': ['Nomax Inc.'], 'product_ndc': ['51801-008'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['OPHTHALMIC'], 'substance_name': ['FLUORESCEIN SODIUM'], 'spl_id': ['7490418c-b489-4b90-bc3d-33ed71231e2d'], 'spl_set_id': ['04866053-f973-471e-b3bc-241fb76303a2'], 'package_ndc': ['51801-008-15'], 'is_original_packager': [True], 'unii': ['93X55PE38X']}",Drugs,87695,Nomax Inc,9735 Green Park Industrial Dr,N/A,63123-7241,Voluntary: Firm initiated,Letter,Nationwide USA,D-0387-2021,"Dry Eye Test, Fluorescein Sodium, Ophthalmic Strips USP (0.12mg Fluorescein Sodium), 100 Sterile Strips (50 Pouches of 2 Strips Each), Manufactured by: Nomax, Inc, St. Louis, MO 63123, NDC: 51801-008-15",78 cartons,Subpotent Drug,20210413,20210518,20210526,LOT 13336 EXP 07/23,20230928,
Ongoing,Durham,NC,United States,Class III,{},Drugs,94842,"Accord Healthcare, Inc.",1009 Slater Rd Ste 210B,N/A,27703-8446,Voluntary: Firm initiated,Letter,USA Nationwide,D-0580-2024,"Dodex Injectable (Cyanocobalamin Injection) USP, 1,000mcg/mL, 1mL multiple dose vial, Rx only, Manufactured for: Accord Healthcare, Inc., Durham, NC 27703, Manufactured by: Intas Pharmaceuticals Limited, Ahmedabad-382 210, India, NDC 16729-533-08, UPC Code: 031672953308","52,998",Subpotent drug: out of specification results,20240618,20240702,20240710,"Lot# R2200834, R2200835, R2200841, R2200958, Exp 06/30/2024; R2201044    R2201045    R2201046, R2201047, R2201095, R2201142, R2201143, R2201144, Exp 07/31/2024; M2215870, M2215918, Exp 10/2024",,
Terminated,Richmond,VA,United States,Class II,{},Drugs,89646,Mckesson Medical-Surgical Inc. Corporate Office,9954 Maryland Drive,Deep Run Iii Ste. 4000,23233,Voluntary: Firm initiated,Letter,USA nationwide.,D-1030-2022,"Spinal Tray (A4058-25 Spinal Tray 25G Whitacre No Epinephrine), Rx only, Manufacturer: Smiths Medical ASD, Inc., NJ",8 cases,cGMP deviations: Temperature abuse,20220413,20220609,20220615,McKesson Medical-Surgical (MMS) is not able to identify the particular lot number received by a particular consignee for the recalled prescription products. Each letter includes the date it was distributed to customers and the dates that impacted product may have been shipped to the customer.,20231130,
Terminated,San Antonio,TX,United States,Class II,{},Drugs,88862,"Vita Pharmacy, LLC dba Talon Compounding Pharmacy",2950 Thousand Oaks Dr Ste 25,N/A,78247-3347,Voluntary: Firm initiated,Telephone,"United States including Washington, D.C. and Puerto Rico",D-0151-2022,"TEST CYPIONATE 200MG/ANASTROZOLE 0.5MG/DUTASTERIDE 0.5MG/ML IN OIL  INJECTABLE, Rx only, Talon Compounding Pharmacy, 2950 Thousand Oaks Drive Ste 25, San Antonio, Texas 78247",23 vials,Lack of assurance of sterility,20211012,20211108,20211117,Lot:  07292021:54 BUD: 01/25/2022; T1006302021:96 BUD: 12/27/2021; T1008092021:60 BUD: 02/05/2022; T1009222021:51 BUD: 03/21/2022;  T1006082021:79 BUD: 12/05/2021; T1008302021:82 BUD: 02/26/2022;,20231004,
Terminated,Berkeley Springs,WV,United States,Class II,{},Drugs,88528,"Washington Homeopathic Products, Inc.",260 J R Hawvermale Way,N/A,25411-6957,Voluntary: Firm initiated,Letter,Distributed Nationwide in the USA,D-0859-2021,"Occular Allergy Blend 87% Alcohol; In Equal Parts of Apis Mellifica 7x Allium Cepa 7x Euphrasia Officinalis 7X Sabadilla 7X, WHP Homeopathic Medicine For Manufacturing Only, 500 ml. Manufcatured by Washington Homeopathic Products 260JR Hawvermale Way, Berkeley Springs WV 25411",2/500 mL bottles,Out-of-specification test results obtained for identification testing based on HPTLC analysis.,20210820,20210929,20211006,Lot # 30148,20220621,
Terminated,Buena,NJ,United States,Class I,{},Drugs,88850,"Teligent Pharma, Inc.",105 Lincoln Avenue,,08310,Voluntary: Firm initiated,Press Release,Nationwide within the United States,D-0280-2022,"Lidocaine Hydrochloride Topical Solution USP 4% (40 mg/mL), 50 mL glass bottles, Rx Only, Teligent Pharma Inc., Buena, NJ 08310,  NDC 52565-009-50","52,104 glass bottles",Superpotent Drug,20211012,20211213,20211222,"Lot #: 13262, Exp. 03/2022; 14217, Exp. 08/2022",20240618,
Terminated,Alpharetta,GA,United States,Class I,"{'brand_name': ['NP THYROID 60'], 'generic_name': ['LEVOTHYROXINE, LIOTHYRONINE'], 'manufacturer_name': ['Acella Pharmaceuticals, LLC'], 'product_ndc': ['42192-330'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['ORAL'], 'substance_name': ['LEVOTHYROXINE', 'LIOTHYRONINE'], 'rxcui': ['313391', '1724481'], 'spl_id': ['248a9d43-d0db-53a8-e063-6294a90ac99a'], 'spl_set_id': ['f347f490-7199-4de6-bca2-0d44a74979af'], 'package_ndc': ['42192-330-01'], 'is_original_packager': [True], 'upc': ['0342192330016'], 'nui': ['N0000175945', 'M0021504', 'N0000175946', 'M0021977'], 'pharm_class_epc': ['l-Thyroxine [EPC]', 'l-Triiodothyronine [EPC]'], 'pharm_class_cs': ['Thyroxine [CS]', 'Triiodothyronine [CS]'], 'unii': ['Q51BO43MG4', '06LU7C9H1V']}",Drugs,85721,"Acella Pharmaceuticals, LLC",1880 Mcfarland Pkwy Ste 110-B,N/A,30005,Voluntary: Firm initiated,Press Release,Distributed Nationwide in the US and Puerto Rico,D-1299-2020,"NP Thyroid 60, Thyroid Tablets, USP, 1 grain (60 mg), 100-count bottles, Rx Only, Manufactured For: Acella Pharmaceuticals, LLC, Alpharetta, GA  30005, NDC 42192-330-01.","29,304 bottles",Superpotent Drug.,20200522,20200608,20200610,"Lots: M330J18-2A,  M330J18-3 Exp. AUG-2020",20220119,
Terminated,Fort Worth,TX,United States,Class II,{},Drugs,86171,"Eosera, Inc.",5000 South Fwy Ste 106,N/A,76115-3902,Voluntary: Firm initiated,Letter,Nationwide within the United States,D-1500-2020,"Ear Itch MD Anti-Itch Spray (pramoxine HCL 1%) 0.5 FL OZ (15 mL) bottles, Eosera, Inc. 5000 South Freeway Fort Worth, TX 76115, NDC 72429-0071-5, UPC 851722007125","43,424 bottles",cGMP Deviations.,20200804,20200813,20200819,"Lot #: F203071 Exp. SEP 21; F203059 Exp. OCT 21; F193095, F193094 Exp. MAY 21; F193093 Exp. APR 21; F193082 Exp. MAR 21; F193069 Exp. FEB 21; F193061 Exp. JAN 21; F193058, F193054 Exp. DEC 20; F193032,  F193030, F193029, F193028, F193027, F193026, F193025, F193024 Exp. AUG 20",20210910,
Terminated,Parsippany,NJ,United States,Class II,"{'application_number': ['NDA206977'], 'brand_name': ['TIROSINT'], 'generic_name': ['LEVOTHYROXINE SODIUM'], 'manufacturer_name': ['IBSA Pharma Inc.'], 'product_ndc': ['71858-0105', '71858-0110', '71858-0112', '71858-0113', '71858-0115', '71858-0117', '71858-0120', '71858-0125', '71858-0130', '71858-0135', '71858-0140', '71858-0145', '71858-0150', '71858-0155', '71858-0160'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['ORAL'], 'substance_name': ['LEVOTHYROXINE SODIUM'], 'rxcui': ['2056462', '2056466', '2056468', '2056470', '2056472', '2056474', '2056476', '2056478', '2056480', '2056482', '2056484', '2056486', '2056488', '2056490', '2056492', '2056494', '2056496', '2056498', '2056500', '2056502', '2056504', '2056506', '2056508', '2056510', '2566608', '2566610', '2566613', '2566615', '2566617', '2566619'], 'spl_id': ['25224536-09f7-ca7c-e063-6394a90a3bf9'], 'spl_set_id': ['5d378add-f13d-40f2-99dc-0f2340ab44b7'], 'package_ndc': ['71858-0105-6', '71858-0105-4', '71858-0105-5', '71858-0105-1', '71858-0110-6', '71858-0110-4', '71858-0110-5', '71858-0110-1', '71858-0112-6', '71858-0112-4', '71858-0112-5', '71858-0112-1', '71858-0113-6', '71858-0113-4', '71858-0113-5', '71858-0113-1', '71858-0115-6', '71858-0115-4', '71858-0115-5', '71858-0115-1', '71858-0117-6', '71858-0117-4', '71858-0117-5', '71858-0117-1', '71858-0120-6', '71858-0120-4', '71858-0120-5', '71858-0120-1', '71858-0125-6', '71858-0125-4', '71858-0125-5', '71858-0125-1', '71858-0130-6', '71858-0130-4', '71858-0130-5', '71858-0130-1', '71858-0135-6', '71858-0135-4', '71858-0135-5', '71858-0135-1', '71858-0140-6', '71858-0140-4', '71858-0140-5', '71858-0140-1', '71858-0145-6', '71858-0145-4', '71858-0145-5', '71858-0145-1', '71858-0150-6', '71858-0150-4', '71858-0150-5', '71858-0150-1', '71858-0155-6', '71858-0155-4', '71858-0155-5', '71858-0155-1', '71858-0160-6', '71858-0160-4', '71858-0160-5', '71858-0160-1'], 'is_original_packager': [True], 'unii': ['9J765S329G']}",Drugs,91556,IBSA PHARMA INC,8 Campus Dr Ste 201,N/A,07054-4409,Voluntary: Firm initiated,Letter,Nationwide in the USA.,D-0345-2023,"TIROSINT - SOL (levothyroxine sodium) Oral Solution, 200 microgram/mL; 6 pouches x 5 ampules, Rx Only; Manufactured for IBSA Pharma Inc. by: IBSA Institut Biochimique SA, 6912 Pazzallo, Switzerland; Distributed by: IBSA Pharma Inc., Parsippany, NJ 07054; NDC 71858-0160-5",N/A,Subpotent Drug,20230130,20230404,20230301,"Lot #: 220418, Exp. 10/2023; 220560, Exp. 11/2023.",20231031,
Completed,Skillman,NJ,United States,Class II,{},Drugs,88288,"Johnson & Johnson Consumer, Inc.",199 Grandview Rd,N/A,08558-1311,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Nationwide in US,D-0843-2021,"Neutrogena Invisible Daily defense body spray sunscreen BROAD SPECTRUM SPF 60+, Avobenzone (3%), Homosalate (10%), Octisalate (5%), Octocrylene (10%), NET WT. 5.0 OZ. (141 g) aerosol can, Distributed by: JOHNSON & JOHNSON CONSUMER, INC. Skillman, NJ 08858, UPC 0 86800 11154 2","88,380 cans",cGMP Deviations,20210714,20210924,20211006,All lots within expiry.,,
Terminated,Allegan,MI,United States,Class II,"{'application_number': ['M012'], 'brand_name': ['CAREONE SEVERE CONGESTION NASAL'], 'generic_name': ['OXYMETAZOLINE HYDROCHLORIDE'], 'manufacturer_name': ['American Sales Company'], 'product_ndc': ['41520-108'], 'product_type': ['HUMAN OTC DRUG'], 'route': ['NASAL'], 'substance_name': ['OXYMETAZOLINE HYDROCHLORIDE'], 'rxcui': ['1000990'], 'spl_id': ['f13729fc-0c8a-4931-be5c-e16e74d7a8d6'], 'spl_set_id': ['d1dba68b-c4e1-4afc-9aee-6a51341b89f5'], 'package_ndc': ['41520-108-10'], 'is_original_packager': [True], 'unii': ['K89MJ0S5VY']}",Drugs,88905,Perrigo Company PLC,515 Eastern Ave,,49010-9070,Voluntary: Firm initiated,Letter,Nationwide in the USA,D-0607-2022,"Severe Congestion Nasal Spray, No Drip Plus Menthol, Oxymetazoline HCl 0.05%, 1 FL Oz (30 mL) per bottle,  DISTRIBUTED BY FOODHOLD U.S.A., LLC, LANDOVER, MD 20785. NDC 41520-108-10","3,192 bottles",CGMP Deviations: Products were manufactured with contaminated excipient that was recalled from the excipient supplier.,20211026,20220223,20220302,"Batch: 1BK0716; Exp 12/31/2022); 1FK1251, Exp 02/28/2023",20230929,
Terminated,Baudette,MN,United States,Class II,{},Drugs,89556,"ANI Pharmaceuticals, Inc.",210 W Main St,N/A,56623-2467,Voluntary: Firm initiated,Letter,Nationwide within the United States,D-0565-2022,"Alprazolam Tablets, USP 0.5 mg, packaged in a) 100-count bottles (NDC 67253-901-10), b) 500-count bottles (NDC 67253-901-50), and c) 1000-count bottles (NDC 67253-901-11), Rx only, Distributed by: Par Pharmaceutical Chestnut Ridge, NY 10977","205,662 bottles",cGMP Deviations,20220215,20220217,20220223,"Lot #: a) 19B029A, Exp. Date 02/2022; 19D021A, Exp. Date 04/2022.  b) 19A087B, 19A088B, 19A089B, 19A090B, Exp. Date 02/2022; 19A086B, 19A091B, 19B019B, Exp. Date 02/2022.  c) 19B020C, 19B021C, 19B027C, 19B028C, Exp. Date 02/2022, 19E056C, 19E057C, Exp. Date 05/2022;  19E059C, Exp. Date 06/2022  19G072C, Exp. Date 07/2022",20221025,
Terminated,Richmond,VA,United States,Class II,"{'application_number': ['ANDA077200'], 'brand_name': ['ZADITOR'], 'generic_name': ['KETOTIFEN FUMARATE'], 'manufacturer_name': ['Alcon Laboratories, Inc.'], 'product_ndc': ['0065-4011'], 'product_type': ['HUMAN OTC DRUG'], 'route': ['OPHTHALMIC'], 'substance_name': ['KETOTIFEN FUMARATE'], 'rxcui': ['284380', '311237'], 'spl_id': ['bed738a0-2943-46e7-a65e-2440dac7971b'], 'spl_set_id': ['ac66b1e4-c2b0-a4c3-09e3-ebd44a2f7c9f'], 'package_ndc': ['0065-4011-05', '0065-4011-06', '0065-4011-11', '0065401105'], 'is_original_packager': [True], 'upc': ['0300654011057'], 'unii': ['HBD503WORO']}",Drugs,90553,Mckesson Medical-Surgical Inc. Corporate Office,9954 Maryland Drive,Deep Run Iii Ste. 4000,23233,Voluntary: Firm initiated,Letter,Nationwide in the USA.,D-1317-2022,"Systane Zaditor, ketotifen fumarate ophthalmic solution 0.035%, Antihistamine eye drops, Eye Itch Relief, up to 12 Hours, Sterile, 30 day supply, 5mL (0.17 FL OZ) bottle per box, Alcon, NDC 0065-4011-05.",9 boxes,CGMP Deviations: products were stored outside the drug label specifications.,20220629,20220805,20220817,Part# 0065401105,20240213,
Ongoing,South Plainfield,NJ,United States,Class II,{},Drugs,89503,AMS Packaging Inc,161 Helen St,,07080-3806,Voluntary: Firm initiated,E-Mail,Nationwide in the USA,D-0647-2022,"Premium Nature Instant Hand Sanitizer, (ethyl alcohol 70%), plastic bottle packaged as (a) 8 OZ, UPC 8 19192 02866 8; (b) 16 OZ, UPC 8 19192 02874 3;  Premium Nature, South Plainfield, NJ.","487,000 bottles",Subpotent Drug: FDA analysis has revealed some bottles of these products were sub potent for ethanol.,20220128,20220307,20220302,All lots within expiry and labelled as 'Made in the USA',,
Ongoing,Columbia,MO,United States,Class II,{},Drugs,92348,"Apollo Care, LLC",3801 Mojave Ct Ste 101,N/A,65202-4042,Voluntary: Firm initiated,Letter,Missouri only,D-0635-2023,"Ketamine Injection, 50 mg per 5 mL (10 mg/mL), Single-Use Syringe, Rx only, Apollo Care, LLC, 3801 Mojave Ct., Suite 101, Columbia, MO 65202. NDC 71170-050-05",2040 syringes,Lack of Assurance of Sterility,20230502,20230518,20230524,"Lot #: AC-016627, Exp. Date 06/17/2023; AC-016635, Exp. Date 07/08/2023; AC-016662, Exp. Date 09/30/2023",,
Terminated,South Richmond Hill,NY,United States,Class II,{},Drugs,85992,MasterPharm LLC,11502 Liberty Ave Fl 2,N/A,11419-1902,Voluntary: Firm initiated,Letter,Nationwide in the U.S.,D-1424-2020,"Formula 82M (Minoxidil 5%/Tretinoin 0.01%/Fluocinolone acetonide 0.01%), a) 0.5 FL OZ (15 mL), b) 2 FL OZ (60 mL) bottle, MasterPharm, 115-02 Liberty Ave, Richmond Hill, NY 11419, (866) 630-5600",543 units,Lack of Processing Controls (lack of assurance of conformity to specifications).,20200702,20200729,20200805,"01-17-2020:45@4, 01-13-2020:40@27, BUD 7/7/2020   01-21-2020:43@11, BUD 7/18/2020  01-28-2020:88@15, 01-31-2020:73@6, BUD 7/26/2020  02-12-2020:43@16, 02-17-2020:86@5, BUD 8/10/2020  02-21-2020:23@1, BUD 8/16/2020",20240223,
Terminated,Hauppauge,NY,United States,Class II,"{'application_number': ['M013'], 'brand_name': ['ACETAMINOPHEN'], 'generic_name': ['ACETAMINOPHEN'], 'manufacturer_name': ['Major Pharmaceuticals'], 'product_ndc': ['0904-6730'], 'product_type': ['HUMAN OTC DRUG'], 'route': ['ORAL'], 'substance_name': ['ACETAMINOPHEN'], 'rxcui': ['198440'], 'spl_id': ['17f3b749-01e8-2561-e063-6294a90a5d3b'], 'spl_set_id': ['76cb8209-6c43-322e-e053-2991aa0a51eb'], 'package_ndc': ['0904-6730-60', '0904-6730-80', '0904-6730-59', '0904-6730-61'], 'is_original_packager': [True], 'upc': ['0309046730804', '309046730606', '309046730804'], 'unii': ['362O9ITL9D']}",Drugs,84857,Contract Pharmacal Corporation,135 Adams Ave,,11788-3633,Voluntary: Firm initiated,Letter,Nationwide within the United States,D-0858-2020,"Major Extra Strength Acetaminophen Tablets, 500 mg Pain Reliever/Fever Reducer, packaged in a) 100-count bottles (NDC 0904-6730-60; UPC 3 09046 73060 6) and b) 1000-count bottles (NDC 0904-6730-80; UPC 3 09046 73080 4) Distributed by Major Pharmaceuticals 17177 N. Laurel Park Drive, Suite 233 Livonia, MI 45162 USA","a) 1176 bottles b) 6,216 bottles",Presence of Foreign Tablets/Capsules: Complaint involving one Women's Prenatal dietary supplement tablet commingled in a bottle of Extra Strength Acetaminophen 500 mg contents 1000 count bottle.,20200203,20200227,20200219,"Lot #: 193005, Exp. Date 08/21",20240422,
Terminated,Lake Forest,IL,United States,Class II,"{'application_number': ['NDA017514'], 'brand_name': ['SODIUM CHLORIDE'], 'generic_name': ['SODIUM CHLORIDE'], 'manufacturer_name': ['ICU Medical Inc.'], 'product_ndc': ['0990-6138', '0990-7138', '0990-7972'], 'product_type': ['HUMAN PRESCRIPTION DRUG'], 'route': ['IRRIGATION'], 'substance_name': ['SODIUM CHLORIDE'], 'rxcui': ['486515'], 'spl_id': ['8fe0bd51-0925-4ca4-a2b7-57d9335ace2d'], 'spl_set_id': ['3cfdeee0-ff14-4341-8396-b11c2a037c60'], 'package_ndc': ['0990-7138-09', '0990-7138-36', '0990-6138-22', '0990-6138-03', '0990-7972-05', '0990-7972-07'], 'is_original_packager': [True], 'unii': ['451W47IQ8X']}",Drugs,87484,ICU Medical Inc,600 N Field Dr,N/A,60045-4835,Voluntary: Firm initiated,Letter,Distributed Nationwide in the USA to include Puerto Rico,D-0313-2021,"0.9% SODIUM CHLORIDE Irrigation, USP 1000 mL Semi-Rigid Bottle, Rx only, Manufactured for ICU Medical, Inc., Lake Forest, Illinois, 60045 USA. NDC 0990-7138-09","425,628 bottles",Presence of particulate matter.one confirmed  customer report of particulate matter within two semi-rigid bottles identified prior to use,20210309,20210325,20210331,"Lots: 16-808-4B, 16-803-4B, 16-809-4B, Exp. April 01, 2023",20220928,
Ongoing,Allentown,PA,United States,Class II,{},Drugs,92253,"Central Admixture Pharmacy Services, Inc.",6580 Snowdrift Rd Ste 100,N/A,18106-9331,Voluntary: Firm initiated,E-Mail,Nationwide in the USA.,D-0750-2023,"MSA 7.84% MSG 8.56% (0.92M) Comp. Sol. 1000 ml bag, Rx only, Central Admixture Pharmacy Services, 6580 Snowdrift Road, Allentown, PA  18106, NDC 71285-8029-1, code 7128580291.",653 bags,Lack of Assurance of Sterility: after an FDA inspection called into question the sterility of the products intended to be sterile.,20230428,20230519,20230531,"Lot # 37-882955, Exp 04/29/2023; 37-884753, 37-884755, Exp 05/06/2023; 37-887536, 37-887537, Exp 05/17/2023; 37-888532, Exp 05/23/2023; 37-892474, Exp 06/07/2023; 37-896761, Exp 06/23/2023; 37-897261, Exp 06/27/2023",,
Terminated,Columbus,OH,United States,Class III,{},Drugs,90191,American Health Packaging,2550 John Glenn Ave Ste A,N/A,43217-1188,Voluntary: Firm initiated,Letter,Nationwide USA,D-0880-2022,"Nitrofurantoin Capsules, USP (Monohydrate/Macrocrystals), 100 mg, 100 Capsules (10 x 10), 10-count blisters per card, 10 cards per carton, Unit Dose NDC 68084-446-11, Rx Only, Distributed by: American Health Packaging, Columbus, Ohio 43217,  NDC: 68084-446-01",1603 cartons,Failed Dissolution Specifications: Nitrofurantoin Capsules recalled due to dissolution failure at 0-time of the repackaged lot. Drug release results were above specification at 0-time.,20220503,20220518,20220525,"Lot # 1003829, Exp date 1/31/23",20230928,
