Status,City,State,Country,Classification,Product Type,Recalling Firm,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Termination Date
Terminated,Richmond,VA,United States,Class II,Drugs,Mckesson Medical-Surgical Inc. Corporate Office,"Duraclon (clonidine HCl injection, USP), 1000 mcg/10 mL (100 mcg/mL), 10 mL single-dose vial, Rx only, MFG: Mylan Pharma, NDC 67457-218-10",9 vials,cGMP deviations: Temperature abuse,20220413,20231130
Terminated,Houston,TX,United States,Class II,Drugs,Assurance Infusion,LIPO B 25MG/50MG/50MG/1000MCG/ML  (10ML VIAL) in 20 mL syringe and 10 mL vial Assurance Infusion (713) 533-8800,2 syringes/1 vial,Lack of sterility assurance.,20191220,20211027
Terminated,Carlsbad,CA,United States,Class II,Drugs,"Custopharm, Inc.","FLUDARABINE PHOSPHATE FOR INJECTION, USP, 50 mg per vial, Single dose vial, Rx Only,    Mfd for: Leucadia Pharmaceuticals Carlsbad, CA 92011 U.S.A, NDC 24201-237-01","19,384 vials",Lack of Assurance of Sterility: the manufacturing firm had microbial recoveries during environmental monitoring in aseptic areas of manufacturing.,20210730,20220808
Terminated,Plainsboro,NJ,United States,Class III,Drugs,Macleods Pharma Usa Inc,"Risedronate Sodium Tablets, USP, 5 mg, Rx Only, 30-count bottle, Manufactured for: Macleods Pharma USA, Plainsboro, NJ 08536, Manufactured by: Macleods Pharmaceuticals Ltd., BAddi, HImchal Pradesh, INDIA, NDC 33342-107-07.",4872 bottles,FAILED CONTENT UNIFORMITY SPECIFICATIONS,20220310,20230629
Terminated,Hawthorne,NY,United States,Class II,Drugs,"Taro Pharmaceuticals U.S.A., Inc.","Kroger Athlete's Foot Cream, Clotrimazole Cream USP, 1%, Antifungal, NET WT 0.5 OZ (15g), Distributed by The Kroger Co. Cincinnati, Ohio 45202 Made in Canada. NDC 30142-305-01","133,452 0.5 oz tubes",Failed Impurities/Degradation Specifications: An unknown degradation impurity was detected slightly above the specification limit in Clotrimazole Cream USP 1%.,20201117,20240221
Terminated,Chatsworth,CA,United States,Class I,Drugs,Pink Toyz,"Pink Pussycat SENSUAL ENHANCEMENT capsule, 3000mg, 1-count blister card, Manufactured for: Pink Pussycat Products - Chatsworth, CA  91311, UPC 8 91875 00462 6.",120 blister cards,"Marketed Without An Approved NDA/ANDA: FDA analysis found the product to contain undeclared sildenafil, an ingredient found in FDA approved products for the treatment of male sexual enhancement, making this an unapproved drug.",20220329,20240731
Terminated,San Antonio,TX,United States,Class II,Drugs,"Vita Pharmacy, LLC dba Talon Compounding Pharmacy","TESTOSTERONE CYPIONATE 200MG/ML INJ #2 IN SESAME OIL INJECTABLE, Rx only, Talon Compounding Pharmacy, 2950 Thousand Oaks Drive Ste 25, San Antonio, Texas 78247",43 vials,Lack of assurance of sterility,20211012,20231004
Terminated,Monterey Park,CA,United States,Class II,Drugs,Herbal Doctor Remedies,"Dermatoxin, 500mg Capsules, 90-count bottles, Distributed by Herbal Doctor Remedies Alhambra, CA 91801-7081 USA, 1(800) 600-0808",N/A,CGMP Deviations: These products have been found to be misbranded as unapproved new drugs,20200324,20240125
Terminated,Port Charlotte,FL,United States,Class II,Drugs,The Medicine Shoppe Pharmacy,"Fluorouracil (5-FU) 4.5% Cream 100 GM, tube Rx, The Medicine Shoppe Pharmacy, Port Charlotte, FL",1 tube,Lack of Processing Control,20200406,20221213
Terminated,Durham,NC,United States,Class II,Drugs,"Accord Healthcare, Inc.","Dofetilide Capsules 250 mcg (0.25 mg) 60-count bottle, Rx only, Manufactured for: Accord Healthcare, Inc., Durham, NC 27703.  Manufactured by: Intas Pharmaceuticals Limited, Pharmez, Ahmedabad-382 213, INDIA NDC 16729-491-12 UPC 3 16729 49112 9","113,571 bottles",CGMP Deviations: recalling drug products following an FDA inspection.,20230207,20240422
Terminated,Richmond,VA,United States,Class II,Drugs,Mckesson Medical-Surgical Inc. Corporate Office,"GlucaGen (glucagon) for injection, 1 mg per vial, single dose kit, Rx only, Manufactured for: Boehringer Mannheim, NDC 0597-0260-10",187 vials,cGMP deviations: Temperature abuse,20220413,20231130
Terminated,Ogden,UT,United States,Class II,Drugs,"Fresenius Medical Care, North America","Delflex Peritoneal Dialysis Solution with 1.5% Dextrose, LM/LC, packaged in a case containing 2 x 6 Liter bags, Rx only, NDC 49230-206-60, Fresenius Medical Care North America, Waltham, MA 02451",709 cases,Labeling; Label Mix-up; 4.25% DEXTROSE bag was found inside a 1.5% DEXTROSE box.,20210414,20220405
Terminated,New Orleans,LA,United States,Class II,Drugs,Lula Holdings L.L.C.,"Kill 'Dat Sanitizing Products Hand Sanitizer, 1 gallon (128 fl. oz.) 80% Alcohol, OTC,  Manufactured by: Lula Holdings LLC, 15532 St. Charles Avenue, New Orleans, LA, NDC 77348-001-02.",192.78 pounds,CGMP Deviations: FDA analysis found product to contain acetaldehyde above specification limits.,20220405,20240617
Terminated,Woodbine,IA,United States,Class III,Drugs,"Grato Holdings, Inc.","Homeopathic Energy Catalyst, 1 fl oz (30 mL) Distributed by: Deseret Biologicals, Inc. 469 W. Parkland Drive Sandy, UT 84070. NDC 43742-0756-1.",399 bottles,Labeling: Product Contains Undeclared API; Incorrect formulation,20200917,20221018
Terminated,Canonsburg,PA,United States,Class II,Drugs,Viatris Inc,"alprazolam XR extended-release tablets, 3 mg, 60-count bottle, Rx only, Distributed by: Greenstone LLC, Peapack, NJ  07977, NDC 59762-0068-1.","6,789 bottles",Failed Dissolution Specifications: low out-of-specification dissolution test results observed.,20220428,20230621
Terminated,Plattsburgh,NY,United States,Class II,Drugs,"SterRx, LLC","MORPHINE SULFATE, in 0.9% Sodium Chloride Injection, 50 mg per 50 mL, (1 mg per mL), Rx only, SterRx, 141 Idaho Ave., Plattsburgh, NY 12903, NDC 70324-427-01.",880 bags,Lack of Assurance of Sterility,20211112,20231206
Terminated,Morristown,NJ,United States,Class II,Drugs,"Alvogen, Inc","Levothyroxine Sodium Tablets, USP 112 mcg, 90 tablets per bottle, Rx Only, Manufactured by Lloyd Inc., Shenandoah, IA, 51601, Distributed by: Alvogen Inc, Pine Brook, NJ 07058, NDC 47781-654-90.","21,276 bottles",Sub-Potent Drug: Out of specification for assay at the 24 month interval.,20230206,20240318
Terminated,Dawsonville,GA,United States,Class II,Drugs,Direct Rx,"Alprazolam C-IV 1 mg 60-count bottles, Rx Only, Dist. By: Par Pharmaceutical Chestnut Ridge, NY 10977 Packaged and Distributed By: Direct Rx Dawsonville, GA 30534, NDC 61919-836-60",16 bottles,CGMP Deviations: The Recall is due to the potential cross-contamination at the contract manufacturer (Ultra Tab Laboratories Inc.),20220304,20221202
Terminated,Longview,TX,United States,Class I,Drugs,Med Shop Total Care Inc.,"BUPIVACAINE HCL-BACLOFEN PF INJECTABLE 40MG-4000MCG/ML, 21 mL syringe, Rx only, Med Shop Total Care 470 East Loop 281 Longview, TX 75605",21 mL,Non-Sterility,20201005,20230817
Terminated,Albany,OR,United States,Class III,Drugs,Dental Alliance Holdings LLC,"CariFree sample boxes, contains one tube of CariFree CTx4 Gel 5000, 1.1% Neutral Sodium Fluoride Mint, 2 oz (57 g) Rx only NDC: 61578-205-01 Manufactured by Oral BioTech Albany, Oregon 97321.",8 single tubes of lot 492106 and 50 single tubes of lot 492107,Subpotent Drug: Product contains less Sodium Fluoride than listed on product label.,20211203,20220811
Terminated,Los Angeles,CA,United States,Class II,Drugs,"Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceutical","BETAMETHASONE ACETATE/BETAMETHASONE (PF) Injectable Suspension, Betamethasone Acetate/Betamethasone (PF) CMC [10ML] 7MG/ML INJ SUSP, For IM, IA Use, Shake Well, 10 mL Multi-dose Vial, Rx only, Axia Pharmaceutical 1990 Westwood Blvd. Ste 135, Los Angeles, CA 90025; NDC 71283-0621-1",N/A,Lack of Assurance of Sterility,20200115,20231207
Terminated,Pulaski,TN,United States,Class I,Drugs,AVKARE Inc.,"TraZODONE Hydrochloride Tablets USP 100 mg, Rx Only, 1000-count Bottle, Manufactured for: AvKARE Pulaski, TN 38478, NDC 42291-834-10",14368 bottles,Product mix-up: Bottles of sildenafil and trazodone were inadvertently packaged together during bottling at a 3rd party facility.,20201207,20231016
Terminated,Los Angeles,CA,United States,Class II,Drugs,"Fusion IV Pharmaceuticals, Inc. dba Axia Pharmaceutical","Methylprednisolone Acetate Injectable Suspension, METHYLPREDNISOLONE ACETATE [10ML] CMC 100 MG/ML INJ SUSP, For IM, IA Use, Shake Well, 10 mL Multi-dose Vial, Rx only, Axia Pharmaceutical 1990 Westwood Blvd. Ste 135, Los Angeles, CA 90025; NDC 71283-0619-1",N/A,Lack of Assurance of Sterility,20200115,20231207
Terminated,Monterey Park,CA,United States,Class II,Drugs,Herbal Doctor Remedies,"Acne Cystic, 500 mg Capsules, 90-count bottles, Distributed by Herbal Doctor Remedies Alhambra, CA 91801-7081 USA, 1(800) 600-0808",N/A,CGMP Deviations: These products have been found to be misbranded as  unapproved new drugs,20200324,20240125
Terminated,Saint Louis,MO,United States,Class III,Drugs,Nomax Inc,"Dry Eye Test, Fluorescein Sodium, Ophthalmic Strips USP (0.12mg Fluorescein Sodium), 100 Sterile Strips (50 Pouches of 2 Strips Each), Manufactured by: Nomax, Inc, St. Louis, MO 63123, NDC: 51801-008-15",78 cartons,Subpotent Drug,20210413,20230928
Terminated,Richmond,VA,United States,Class II,Drugs,Mckesson Medical-Surgical Inc. Corporate Office,"Spinal Tray (A4058-25 Spinal Tray 25G Whitacre No Epinephrine), Rx only, Manufacturer: Smiths Medical ASD, Inc., NJ",8 cases,cGMP deviations: Temperature abuse,20220413,20231130
Terminated,San Antonio,TX,United States,Class II,Drugs,"Vita Pharmacy, LLC dba Talon Compounding Pharmacy","TEST CYPIONATE 200MG/ANASTROZOLE 0.5MG/DUTASTERIDE 0.5MG/ML IN OIL  INJECTABLE, Rx only, Talon Compounding Pharmacy, 2950 Thousand Oaks Drive Ste 25, San Antonio, Texas 78247",23 vials,Lack of assurance of sterility,20211012,20231004
Terminated,Berkeley Springs,WV,United States,Class II,Drugs,"Washington Homeopathic Products, Inc.","Occular Allergy Blend 87% Alcohol; In Equal Parts of Apis Mellifica 7x Allium Cepa 7x Euphrasia Officinalis 7X Sabadilla 7X, WHP Homeopathic Medicine For Manufacturing Only, 500 ml. Manufcatured by Washington Homeopathic Products 260JR Hawvermale Way, Berkeley Springs WV 25411",2/500 mL bottles,Out-of-specification test results obtained for identification testing based on HPTLC analysis.,20210820,20220621
Terminated,Buena,NJ,United States,Class I,Drugs,"Teligent Pharma, Inc.","Lidocaine Hydrochloride Topical Solution USP 4% (40 mg/mL), 50 mL glass bottles, Rx Only, Teligent Pharma Inc., Buena, NJ 08310,  NDC 52565-009-50","52,104 glass bottles",Superpotent Drug,20211012,20240618
Terminated,Alpharetta,GA,United States,Class I,Drugs,"Acella Pharmaceuticals, LLC","NP Thyroid 60, Thyroid Tablets, USP, 1 grain (60 mg), 100-count bottles, Rx Only, Manufactured For: Acella Pharmaceuticals, LLC, Alpharetta, GA  30005, NDC 42192-330-01.","29,304 bottles",Superpotent Drug.,20200522,20220119
Terminated,Fort Worth,TX,United States,Class II,Drugs,"Eosera, Inc.","Ear Itch MD Anti-Itch Spray (pramoxine HCL 1%) 0.5 FL OZ (15 mL) bottles, Eosera, Inc. 5000 South Freeway Fort Worth, TX 76115, NDC 72429-0071-5, UPC 851722007125","43,424 bottles",cGMP Deviations.,20200804,20210910
Terminated,Parsippany,NJ,United States,Class II,Drugs,IBSA PHARMA INC,"TIROSINT - SOL (levothyroxine sodium) Oral Solution, 200 microgram/mL; 6 pouches x 5 ampules, Rx Only; Manufactured for IBSA Pharma Inc. by: IBSA Institut Biochimique SA, 6912 Pazzallo, Switzerland; Distributed by: IBSA Pharma Inc., Parsippany, NJ 07054; NDC 71858-0160-5",N/A,Subpotent Drug,20230130,20231031
Terminated,Allegan,MI,United States,Class II,Drugs,Perrigo Company PLC,"Severe Congestion Nasal Spray, No Drip Plus Menthol, Oxymetazoline HCl 0.05%, 1 FL Oz (30 mL) per bottle,  DISTRIBUTED BY FOODHOLD U.S.A., LLC, LANDOVER, MD 20785. NDC 41520-108-10","3,192 bottles",CGMP Deviations: Products were manufactured with contaminated excipient that was recalled from the excipient supplier.,20211026,20230929
Terminated,Baudette,MN,United States,Class II,Drugs,"ANI Pharmaceuticals, Inc.","Alprazolam Tablets, USP 0.5 mg, packaged in a) 100-count bottles (NDC 67253-901-10), b) 500-count bottles (NDC 67253-901-50), and c) 1000-count bottles (NDC 67253-901-11), Rx only, Distributed by: Par Pharmaceutical Chestnut Ridge, NY 10977","205,662 bottles",cGMP Deviations,20220215,20221025
Terminated,Richmond,VA,United States,Class II,Drugs,Mckesson Medical-Surgical Inc. Corporate Office,"Systane Zaditor, ketotifen fumarate ophthalmic solution 0.035%, Antihistamine eye drops, Eye Itch Relief, up to 12 Hours, Sterile, 30 day supply, 5mL (0.17 FL OZ) bottle per box, Alcon, NDC 0065-4011-05.",9 boxes,CGMP Deviations: products were stored outside the drug label specifications.,20220629,20240213
Terminated,South Richmond Hill,NY,United States,Class II,Drugs,MasterPharm LLC,"Formula 82M (Minoxidil 5%/Tretinoin 0.01%/Fluocinolone acetonide 0.01%), a) 0.5 FL OZ (15 mL), b) 2 FL OZ (60 mL) bottle, MasterPharm, 115-02 Liberty Ave, Richmond Hill, NY 11419, (866) 630-5600",543 units,Lack of Processing Controls (lack of assurance of conformity to specifications).,20200702,20240223
Terminated,Hauppauge,NY,United States,Class II,Drugs,Contract Pharmacal Corporation,"Major Extra Strength Acetaminophen Tablets, 500 mg Pain Reliever/Fever Reducer, packaged in a) 100-count bottles (NDC 0904-6730-60; UPC 3 09046 73060 6) and b) 1000-count bottles (NDC 0904-6730-80; UPC 3 09046 73080 4) Distributed by Major Pharmaceuticals 17177 N. Laurel Park Drive, Suite 233 Livonia, MI 45162 USA","a) 1176 bottles b) 6,216 bottles",Presence of Foreign Tablets/Capsules: Complaint involving one Women's Prenatal dietary supplement tablet commingled in a bottle of Extra Strength Acetaminophen 500 mg contents 1000 count bottle.,20200203,20240422
Terminated,Lake Forest,IL,United States,Class II,Drugs,ICU Medical Inc,"0.9% SODIUM CHLORIDE Irrigation, USP 1000 mL Semi-Rigid Bottle, Rx only, Manufactured for ICU Medical, Inc., Lake Forest, Illinois, 60045 USA. NDC 0990-7138-09","425,628 bottles",Presence of particulate matter.one confirmed  customer report of particulate matter within two semi-rigid bottles identified prior to use,20210309,20220928
Terminated,Columbus,OH,United States,Class III,Drugs,American Health Packaging,"Nitrofurantoin Capsules, USP (Monohydrate/Macrocrystals), 100 mg, 100 Capsules (10 x 10), 10-count blisters per card, 10 cards per carton, Unit Dose NDC 68084-446-11, Rx Only, Distributed by: American Health Packaging, Columbus, Ohio 43217,  NDC: 68084-446-01",1603 cartons,Failed Dissolution Specifications: Nitrofurantoin Capsules recalled due to dissolution failure at 0-time of the repackaged lot. Drug release results were above specification at 0-time.,20220503,20230928
Terminated,Durham,NC,United States,Class II,Drugs,"Accord Healthcare, Inc.","Atorvastatin Calcium Tablets USP 80 mg* Rx Only, Packaged as a) 90 Tablets NDC 16729-047-15 UPC 3 16729 04715 9; b) 500 Tablets NDC 16729-047-16 UPC 3 16729 04716 6; Manufactured for: Accord Healthcare, Inc., Durham, NC 27703 Manufactured by: Intas Pharmaceuticals Limited, Pharmez, Ahmedabad-382 213, INDIA","72,376 bottles",CGMP Deviations: recalling drug products following an FDA inspection.,20230207,20240422
Terminated,Kansas City,MO,United States,Class II,Drugs,Nostrum Laboratories Inc,"Theophylline (Anhydrous) Extended-Release Tablets, 400 mg, 100-count bottle, Rx Only, Manufactured by: Nostrum Laboratories, Inc., Kansas City, MO 64120, NDC 29033-001-01.",4722 bottles,"CGMP Deviations: poor manufacturing practices resulted in Labeling: Incorrect or Missing Lot and/or Exp Date, product incorrectly labeled with incorrect lot and expiration date.",20200306,20220401
Terminated,Houston,TX,United States,Class II,Drugs,Assurance Infusion,BAC 160MCG/HYDROM 16MG/ML  INJ in 20 mL syringe  Assurance Infusion (713) 533-8800,1 syringe,Lack of sterility assurance.,20191220,20211027
Terminated,Princeton,NJ,United States,Class III,Drugs,SUN PHARMACEUTICAL INDUSTRIES INC,"Metformin HCl Extended-Release Tablets, USP, 500 mg, Rx Only, 500-count bottle, Rx only, Distributed by: Sun Pharmaceutical Industries, Inc., Cranbury, NJ 08512; Manufactured by: Sun Pharmaceutical Industries Ltd., Halol-Baroda HIghway, Halol-389 350 Gujarat, India, NDC 62756-142-02.",2520 bottles,Failed Moisture Limits: Out of specification for water content,20210325,20220414
Terminated,Princeton,NJ,United States,Class III,Drugs,"MACLEODS PHARMA USA, INC","Rizatriptan Benzoate Orally Disintegrating Tablets 10mg, 18 Tablets (3 x 6 Unit-Dose Tablets) Blister Packs, Rx only, Manufactured for: Macleods Pharma USA Inc. Plainsboro, NJ 08536, Manufactured by: Macleods Pharmaceuticals Ltd. Baddi, Himachal Pradesh, INDIA, NDC 33342-094-41","643,800 Blister Packs /888,336 Tablets",Out-of-specification test results obtained in Organic Impurities test during analysis of controlled samples.,20211018,20240424
Terminated,Pulaski,TN,United States,Class II,Drugs,AVKARE Inc.,"Dutasteride Capsules, 0.5 mg, 30 Capsules (6 X 5) Unit Dose per carton, Rx Only, Manufactured for: AvKARE, Inc., Pulaski, TN 38478, NDC 50268-282-13.","3,989 cartons",Failed Impurities/Degradation Specifications: High out of specification results for related compounds.,20200107,20210714
Terminated,Charlottesville,VA,United States,Class I,Drugs,"Biomic Sciences, LLC dba ION Intelligence of Nature","ION*Sinus Spray, 1 fl oz/ 30 mL, Manufactured by: ION* Biome Charlottesville, VA",N/A,Microbial contamination of Non-Sterile Products,20230929,20240710
Terminated,Buena,NJ,United States,Class II,Drugs,"Teligent Pharma, Inc.","Triamcinolone Acetonide Ointment USP, 0.5%, Net Wt. 15 grams tube, Rx Only, Teligent Pharma, Inc., Buena, New Jersey 08310, NDC 52565-048-15.","159,994 tubes",cGMP deviations: all products within expiry are being recalled because the firm is discontinuing its stability study program.,20220315,20240617
Terminated,Durham,NC,United States,Class I,Drugs,"Accord Healthcare, Inc.","Daptomycin for Injection 350 mg/vial 1 Single-dose vial, Rx only, Manufactured for: Accord Healthcare, Inc., Durham, NC 27703 Manufactured by: Intas Pharmaceuticals Limited, Pharmez, Ahmedabad-382 213, India. NDC 16729-0434-05",Unknown,Labeling mixup: cartons labeled as Daptomycin 350 mg/vial were found to contain vials of Daptomycin 500 mg per vial,20221129,20240222
Terminated,Dublin,OH,United States,Class II,Drugs,CARDINAL HEALTHCARE,"ARMOUR THYROID (thyroid tablets, USP), 2 GRAIN (120 mg), 100 Tablets, Rx Only, Distributed by: Allergan US, INc., Madison, NJ 07940.  NDC: 0456-0461-01",1 unit,CGMP Deviations: Products were exposed to temperatures outside of the products labeled storage conditions.,20220126,20240929
Terminated,Lake Zurich,IL,United States,Class I,Drugs,"Fresenius Kabi USA, LLC","Ketorolac Tromethamine Injection, USP, 30 mg per mL, packaged in 1 mL Single Dose Vials (NDC 63323-162-00); 25 x 1 mL Single Dose Vials per tray (NDC 63323-162-01); For IM or IV use, Rx only, Fresenius Kabi, Lake Zurich, IL  60047.","5,314,400 vials",Presence of Particulate Matter - found in reserve sample vials at the firm.,20200420,20231016
Terminated,Mahwah,NJ,United States,Class II,Drugs,"Glenmark Pharmaceuticals Inc., USA",Fulvestrant Injection 250 mg/5 mL (50 mg/mL) For Intramuscular Use Only Contains 2 single-dose pre-filled syringes Rx only NDC 68462-317-32,28658 cartons,Lack of Assurance of Sterility,20210827,20231004
Terminated,Woburn,MA,United States,Class II,Drugs,"New England Life Care, Inc. dba Advanced Compounding Solutions","Vancomycin HCl 1.5 g added to 0.9% Sodium Chloride 500 mL, 500 mL IV Bag (515 total volume), Rx Only, Advanced Compounding Solutions, 4 Constitution Way Ste L Woburn, MA 01801-1042, NDC 71546-310-50;",209  Bags,CGMP Violations- that spaces adjacent to the production area may have been compromised at the time of production.,20230710,20231204
Terminated,Basking Ridge,NJ,United States,Class III,Drugs,Torrent Pharma Inc.,"Telmisartan and Hydrochlorothiazide Tablets, USP, 40 mg/12.5 mg, 30 count bottles, Rx only,  Manufactured by: Torrent Pharmaceuticals LTD., Indrad-382 721, India.  Manufactured for: Torrent Pharma Inc., Basking Ridge, NJ 07920.  NDC: 13668-159-30","27,312 Bottles",Superpotent; Hydrochlorothiazide,20211201,20240512
Terminated,Minneapolis,MN,United States,Class II,Drugs,Padagis US LLC,"Nitroglycerin Lingual Spray, 400 mcg per spray, 200 metered sprays, 12 g bottles, Rx only, Manufactured by Perrigo, Yeruham, Israel; Distributed by Perrigo, Allegan, MI 49010, NDC 45802-210-02","11,868 bottles",Defective Delivery System,20211227,20230928
Terminated,Dallas,TX,United States,Class II,Drugs,"MPRX, Inc. dba Medical Park Pharmacy",Squaric Acid 0.1% Topical Solution (Clinic) 30 mL,1 bottle,Labeling: Incorrect or missing lot and/or expiration date. Products were compounded using expired components.,20191218,20221213
Terminated,Albuquerque,NM,United States,Class II,Drugs,"Calvin Scott & Company, Inc.","Diethylpropion, 25 mg tablets, Rx only, Distributed by: Calvin Scott & Co. Inc. Albuquerque, NM 87123; MFG. Lannett Company, Philadelphia, PA 19136, NDC 00527-1475-01",N/A,cMGP Deviations: Drug products repackaged into pouches without supporting stability studies.,20200916,20240422
Terminated,Colchester,VT,United States,Class II,Drugs,"Edge Pharma, LLC","Edetate Disodium (EDTA), Sterile Ophthalmic Solution (PF) 1.5%, 10 mL per dropper, Single Dose Droptainer for Topical Ophthalmic Use, Edge Pharma, LLC, 856 Hercules Dr., Colchester, VT, 05446, NDC 05446-1427-10",80 droppers,Lack of Assurance of Sterility.,20211206,20230607
Terminated,Trujillo Alto,PR,United States,Class II,Drugs,Frenda Corporation,"Easy Clean Alcohol Mult Surface Disinfecting Cleaner 75% Ethyl Alcohol, 32 FL. OZ. (946 mL.), Manufactured by: Frenda Corporation Trujilio Alto, PR 00976, UPC 8 91857 00052 3",8475 bottles,cGMP Deviations,20221215,20240910
Terminated,Albuquerque,NM,United States,Class II,Drugs,"Calvin Scott & Company, Inc.","Phentermine HCL Blue/Clear capsules, 30mg, packaged in a) 10-count bags (NDC 10702-0028-10), b) 28-count bags (NDC 10702-0028-10) and c) 56-count bags (NDC 10702-0028-10), Distributed by: Calvin Scott & Co., Inc. Albuquerque, NM 87123, Manufactured by KVK-Tech Newtown, PA 18940; NDC 10702-0028-10",N/A,CGMP Deviations: Light sensitive drug products repackaged in transparent/partially transparent pouches.,20200727,20240411
Terminated,Durham,NC,United States,Class II,Drugs,"Accord Healthcare, Inc.","BusPIRone Hydrochloride Tablets USP 30 mg, 60-count bottle, Rx Only, Manufactured for: Accord Healthcare, Inc., Durham, NC 27703 Manufactured by: Intas Pharmaceuticals Limited, Pharmez, Ahmedabad-382 213, INDIA, NDC 16729-289-12 UPC 3 16729 28912 2","25,812 bottles",CGMP Deviations: recalling drug products following an FDA inspection.,20230207,20240422
Terminated,Richmond,VA,United States,Class II,Drugs,Mckesson Medical-Surgical Inc. Corporate Office,"Dexmedetomidine HCL Single Dose Vial 200 mcg per 2 mL (100mcg/mL), Rx only, Manufacturer: Auromedics Pharma LLC, NDC 55150-0209-02",5 cartons/2 ml single dose vials,cGMP deviations: Temperature abuse,20220413,20231130
Terminated,Baltimore,MD,United States,Class II,Drugs,Lupin Pharmaceuticals Inc.,"Rifampin Capsules, USP, 150 mg, 30 count HDPE bottles, Rx Only, Manufactured for Lupin Pharmaceuticals, Inc., Baltimore, MD, 21202  NDC: 68180-658-06","7,872/30 count bottles",CGMP Deviations:OOS result was observed in 1-Methyl-4-Nitroso Piperazine (MNP) impurity.,20220728,20231005
Terminated,Indiana,PA,United States,Class II,Drugs,RemedyRepack Inc.,"Simvastatin 10 mg tablets, packaged in a) 30-count bottles (NDC 70518-0064-01) and b) 90-count bottles (NDC 70518-0064-00), Rx only, Repackaged by: RemedyRepack Inc., Indiana, PA 15701","a) 1,262 bottles, b) 95 bottles",cGMP Deviations,20230320,20231019
Terminated,Parsippany,NJ,United States,Class II,Drugs,Teva Pharmaceuticals USA,"Buprenorphine Transdermal System 5 mcg/hour, 4 transdermal systems/4 disposal units per carton, Rx Only, Manufactured by: 3M Drug Delivery Systems, 19901 Nordhoff street, Northridge, CA 91324 USA, Manufactured for: Teva Pharmaceuticals USA Inc., North Wales, PA 19454, carton NDC: 0093-3656-40, patch NDC: 0093-3656-21.","32,543 cartons",Failed Stability Specifications: Below specification result for buprenorphine release rate.,20200904,20210826
Terminated,Parsippany,NJ,United States,Class II,Drugs,Teva Pharmaceuticals USA,"Metformin Hydrochloride Extended - Release Tablets, USP, 500 mg, a) 100 (NDC 62037-571-01) and b) 1,000 (NDC 62037-571-10) count bottles, Rx Only, Manufactured by: Watson Pharma Private Limited, Verna, Salcette Goa, Distributed by: Actavis Pharma, Inc., Parsippany, NJ","a) 92,793 bottles and b) 4,824 bottles",CGMP Deviations: FDA analysis detected N-Nitrosodimethylamine (NDMA) impurity above the acceptable intake level,20200602,20240412
Terminated,Glasgow,KY,United States,Class III,Drugs,NCS Healthcare of Kentucky Inc,"Lisinopril Tablets USP 20 mg, packaged in a) 15-count blister card (NDC 0615-7718-05), b) 30-count blister card (NDC 0615-8255-39), Rx only, Mfd By Lupin, PKG by Vangard Glasgow, KY 42141.",12 cards,Presence of Foreign Tablets: Potential of stray tablet(s) of Amlodipine Besylate 10 mg Tablet within the recalled lots,20231027,20240714
Terminated,East Windsor,NJ,United States,Class II,Drugs,Aurobindo Pharma USA Inc.,"Gabapentin Capsules, USP 100mg 1,000-count bottles, Rx only, Distributed by: Aurobindo Pharma USA, Inc. Dayton, NJ 08810, NDC 65862-198-99",26625 units,CGMP Deviations: Products were manufactured in a processing area in which water leakage was observed,20200318,20240325
Terminated,Princeton,NJ,United States,Class III,Drugs,SUN PHARMACEUTICAL INDUSTRIES INC,"Esomeprazole Magnesium Delayed-Release Capsules, USP 20mg, Rx Only, 90 Capsules per bottle, Manufactured by: Ohm Laboratories Inc. New Brunswick, NJ 08901, Distributed by: Sun Pharmaceutical Industries, Inc. Cranbury, NJ 08512, NDC 63304-734-90.",5712 bottles,Superpotent Drug: Out of specification for assay at the 12-month timepoint.,20220621,20230811
Terminated,Buena,NJ,United States,Class II,Drugs,"Teligent Pharma, Inc.","Desoximetasone Ointment USP, 0.25%, packaged in a) 100 grams tubes, NDC 52565-030-99; b) 60 grams tubes, NDC 52565-030-60; c) 15 grams tubes, NDC 52565-030-15, Rx Only, Teligent Pharma, Inc., Buena, New Jersey 08310.","13,989 tubes",cGMP deviations: all products within expiry are being recalled because the firm is discontinuing its stability study program.,20220315,20240617
Terminated,Dublin,OH,United States,Class II,Drugs,Cardinal Health Inc.,"Ivermectin Tablets USP 3 mg 20 Tablets (2 Foil Strips of 10 tablets each) Rx Only NDC 4799-806-01 Manufactured for: Edenbridge Pharmaceuticals, LLC Parsippany, NJ 07054 877-381-3336",504 cartons,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,20210315,20240617
Terminated,East Windsor,NJ,United States,Class I,Drugs,AuroMedics Pharma LLC,"Polymyxin B for Injection USP, 500,000 Units per Vial, 10 mL vials, packaged in 10 vials per carton, Sterile, Rx Only, Distributed by: AuroMedics Pharma LLC, E. Windsor, NJ 08520, NDC 55150-234-10","35,520 vials",Presence of Particulate Matter; product complaint of hair discovered in a vial within the lot,20220126,20240820
Terminated,Dallas,TX,United States,Class II,Drugs,"MPRX, Inc. dba Medical Park Pharmacy",Progesterone 200 mg Troche,1 bottle,Labeling: Incorrect or missing lot and/or expiration date. Products were compounded using expired components.,20191218,20221213
